tier,country,language,language_basis,name,domain,catalogue_sources_in_country,catalogue_sources_in_language,flags
T1,ai,en,export,The Anguillian,theanguillian.com,0,2327,
T1,aw,,,24ora,24ora.com,0,,
T1,aw,nl,export,DAGonline,dagonline.nl,0,24,
T1,aw,,,Telearuba,telearuba.com,0,,
T1,bq,,,Q139798986,megahitfm.com,0,,
T1,cw,nl,export,Curaçao.nu,curacao.nu,0,24,
T1,cw,,,Radio Hoyer,radiohoyer.com,0,,
T1,fk,,,Falkland Islands Television,fitv.co.fk,0,,
T1,gi,en,export,Gibraltar Chronicle,chronicle.gi,0,2327,
T1,gl,,,Myggbukta,isaaffik.org,0,,
T1,gl,da,export,Sermitsiaq,sermitsiaq.ag,0,8,
T1,ky,en,export,daily.ky,daily.ky,0,2327,
T1,mo,,,Canal Macau,tdm.com.mo,0,,
T1,mo,,,Macau Asia Satellite Television,mastv.cc,0,,
T1,nu,,,Broadcasting Corporation of Niue,tvniue.com,0,,
T1,vg,,,ZCBN-FM,tradewinds923.com,0,,
T1,ye,en,export,Childhood,chd.sagepub.com,0,2327,
T1,ye,,,Civilization University journal,journals.civilizationuniv.edu.ye,0,,deep_host
T1,ye,ar,export,Khabar Agency,khbr.me,0,51,
T1,ye,en,export,Q133514431,quni.edu.ye,0,2327,
T1,ye,,,Q138961092,yementdy.com,0,,
T1,ye,,,Q139935123,hesj.org,0,,
T1,ye,,,Q139935270,taiz.edu.ye,0,,
T1,ye,,,Q139935270,tuahj.org,0,,
T1,ye,ar,export,Q139990366,aden-univ.net,0,51,
T1,ye,,,Q6833046,sanaaradio.net,0,,
T1,ye,,,Queen Arwa University journal,journal.qau.edu.ye,0,,deep_host
T1,ye,ar,export,Saba News Agency,saba.ye,0,51,
T1,ye,ar,export,Saba News Agency,sabanew.net,0,51,
T1,ye,,,Yemen TV,yementv.tv,0,,
T2,ad,ca,export,7dies,7dies.net,2,2,
T2,ad,,,Agència de Notícies Andorrana,ana.ad,2,,
T2,ad,,,Andorra Televisió,andorradifusio.ad,2,,
T2,ad,ca,export,Bondia,bondia.ad,2,2,
T2,ad,,,Cadena Dial,cadenadial.com,2,,
T2,ad,ca,export,Diari d'Andorra,diariandorra.ad,2,2,
T2,ad,en,export,El Confiable,elconfiable.com,2,2327,
T2,ad,ca,export,El Periòdic d'Andorra,elperiodic.ad,2,2,
T2,ad,es,export,Europa FM,europafm.com,2,195,
T2,ad,ca,export,La Valira,lavalira.eu,2,2,
T2,ad,,,Q131178555,cadenaser.com,2,,
T2,ad,,,Q136398874,altaveu.com,2,,
T2,ad,ca,export,Q20105618,forum.ad,2,2,
T2,ad,,,Ràdio i Televisió d'Andorra,rtva.ad,2,,
T2,ad,,,Ràdio Valira,radiovalira.ad,2,,
T2,af,,,1TV,1tvmedia.com,4,,
T2,af,,,Afghan TV,boxelet.com,4,,
T2,af,,,Arezo TV,arezo.news,4,,
T2,af,,,ARIA TV,aria.af,4,,
T2,af,,,Bakhtar News Agency,bakhtarnews.af,4,,
T2,af,,,Daily Afghanistan,dailyafghanistan.com,4,,
T2,af,,,Emrooz TV,emroztv.com,4,,
T2,af,,,Eslah TV,eslah.tv,4,,
T2,af,,,FARSI1,farsi1.tv,4,,
T2,af,en,export,Kabul Weekly,kw.af,4,2327,
T2,af,,,Lemar TV,lemar.tv,4,,
T2,af,,,Maihan TV,maihantv.wordpress.com,4,,
T2,af,en,export,Pajhwok Afghan News,pajhwok.com,4,2327,
T2,af,,,Pashto TV,pashtotv.tv,4,,
T2,af,,,Q5679623,mandegardaily.com,4,,
T2,af,,,Radio Azadi,azadiradio.org,4,,
T2,af,,,Radio Begum,begum.fm,4,,
T2,af,,,Radio Television Afghanistan,rta.af,4,,
T2,af,,,Rah-e-Farda,farda.af,4,,
T2,af,,,Sharq,shaiqnetwork.com,4,,
T2,af,,,Spogmai FM,spogmairadio.com,4,,
T2,af,ps,export,Tatobay,tatobaynews.com,4,0,
T2,af,,,The Daily Outlook Afghanistan,outlookafghanistan.net,4,,
T2,af,,,Tolo TV,tolo.tv,4,,
T2,af,,,ZAWIA,zawia.af,4,,
T2,af,,,Zhwandoon TV,zhwandoon.tv,4,,
T2,ag,,,Antigua and Barbuda Broadcasting Services,abstvradio.com,3,,
T2,ag,en,export,CoinGeek,coingeek.com,3,2327,
