domain,reason,worklist,name,country,language,note
centrum.fm,crawl_delay_too_long,remainder,Q11833429,pl,,
inyarwanda.com,crawl_delay_too_long,shortlist,Inyarwanda,rw,rw,
t-j.ru,error,remainder,T—J,ru,ru,
asagumo-news.com,error,shortlist,Asagumo Shinbunsha. Henshūkyoku,jp,ja,
0-search.ebscohost.com.emu.londonmet.ac.uk,homepage_unreachable,remainder,Alternatives Journal,ca,en,
0277.pubpub.org,homepage_unreachable,remainder,027.7,ch,en,
1000am.com.mx,homepage_unreachable,remainder,XEOY-AM,mx,,
1015thebear.com,homepage_unreachable,remainder,CKNL-FM,ca,,
1015thehawk.ca,homepage_unreachable,remainder,CIOI-FM,ca,,
101fmtestingreva.freesite.host,homepage_unreachable,remainder,101FM,au,en,
1023thewave.com,homepage_unreachable,remainder,CKWV-FM,ca,,
1029hottomato.com.au,homepage_unreachable,remainder,Hot Tomato,au,en,
1035klite.fm,homepage_unreachable,remainder,DWOW,ph,en,
1039spiritfm.com,homepage_unreachable,remainder,DWVM,ph,,
104.5pachuca.comadre.mx,homepage_unreachable,remainder,XHRD-FM,mx,,
1043thebreeze.ca,homepage_unreachable,remainder,CHLG-FM,ca,,
1047.2dayfm.ca,homepage_unreachable,remainder,CFRI-FM,ca,,
1049jrfm.com,homepage_unreachable,remainder,CFJR-FM,ca,,
1051.2dayfm.ca,homepage_unreachable,remainder,CJED-FM,ca,,
1057ezrock.com,homepage_unreachable,remainder,CHRE-FM,ca,,
1057maxfm.com,homepage_unreachable,remainder,XHPRS-FM,mx,,
1069thewolf.com,homepage_unreachable,remainder,CHWF-FM,ca,,
1069thex.com,homepage_unreachable,remainder,CIXX-FM,ca,,
1077.2dayfm.ca,homepage_unreachable,remainder,CHGK-FM,ca,,
10play.com.au,homepage_unreachable,remainder,Network 10,au,,
110.html,homepage_unreachable,remainder,Rocznik Białostocki,pl,,
12-ua.tv,homepage_unreachable,remainder,Pervy municipal,ru,,
1476.orf.at,homepage_unreachable,remainder,Radio 1476,at,de,
20min.ch,homepage_unreachable,remainder,20 minutes,ch,fr,
21mediavision.com,homepage_unreachable,remainder,21 Mediavision,au,en,
24h01.be,homepage_unreachable,remainder,24h01,be,fr,
24oretv.ilsole24ore.com,homepage_unreachable,remainder,24ore.tv,it,,
2arm.org.au,homepage_unreachable,remainder,2ARM,au,,
2ch.com.au,homepage_unreachable,remainder,2CH,au,,
2dayfm.com.au,homepage_unreachable,remainder,2Day FM,au,,
2gofm.com.au,homepage_unreachable,remainder,2GGO,au,,
2mcr.org.au,homepage_unreachable,remainder,2MCR,au,,
2nbc.com.au,homepage_unreachable,remainder,2NBC,au,,
30.com.tw,homepage_unreachable,remainder,Q10846040,tw,zh,
36i6.tv,homepage_unreachable,remainder,"36,6 TV",ua,,
3fach.ch,homepage_unreachable,remainder,Radio 3FACH,ch,,
"3news,com",homepage_unreachable,remainder,Media General Ghana Limited,gh,,
3plus.tv,homepage_unreachable,remainder,Q229649,ch,,
44adelaide.com.au,homepage_unreachable,remainder,44 Adelaide,au,,
4tofm.com.au,homepage_unreachable,remainder,Triple M Townsville,au,,
51ldb.com,homepage_unreachable,remainder,Laodong Daily,cn,,
7gold.tv,homepage_unreachable,remainder,7 Gold,it,,
7rph.org.au,homepage_unreachable,remainder,Print Radio Tasmania,au,,
830.fm,homepage_unreachable,remainder,Q11403017,jp,,
891maxfm.ca,homepage_unreachable,remainder,CISO-FM,ca,,
895thedrive.com,homepage_unreachable,remainder,CHWK-FM,ca,,
8tv.cat,homepage_unreachable,remainder,8tv,es,,
907santafe.com,homepage_unreachable,remainder,XHFL-FM,mx,,
910cfcw.com,homepage_unreachable,remainder,CKDQ,ca,,
919bobfm.com,homepage_unreachable,remainder,CKLY-FM,ca,,
91x.fm,homepage_unreachable,remainder,CJLX-FM,ca,,
923thedock.com,homepage_unreachable,remainder,CJOS-FM,ca,,
930kixxcountry.ca,homepage_unreachable,remainder,CJYQ,ca,,
931theone.ca,homepage_unreachable,remainder,CJLD-FM,ca,,
937praisefm.com,homepage_unreachable,remainder,CJLT-FM,ca,,
939theriverradio.com,homepage_unreachable,remainder,CIDR-FM,ca,,
951thebestmix.co.tt,homepage_unreachable,remainder,951 The Best Mix,tt,,
953thepeak.com,homepage_unreachable,remainder,CKWD-FM,ca,,
957cruzfm.ca,homepage_unreachable,remainder,CKEA-FM,ca,,
95cknb.ca,homepage_unreachable,remainder,CKNB,ca,en,
961starfm.com.au,homepage_unreachable,remainder,5SEF,au,,
963capitalfm.com,homepage_unreachable,remainder,CKRA-FM,ca,,
967hitz.fm,homepage_unreachable,remainder,PM2FGD,id,,
972.fm,homepage_unreachable,remainder,Antena Zadar,hr,,
973theeagle.com,homepage_unreachable,remainder,CKLR-FM,ca,,
975river.com,homepage_unreachable,remainder,CKRV-FM,ca,,
977maxfm.ca,homepage_unreachable,remainder,CHGB-FM,ca,en,
979homeradio.com,homepage_unreachable,remainder,DWQZ,ph,,
981camfm.com,homepage_unreachable,remainder,CFCW-FM,ca,,
981thebridge.ca,homepage_unreachable,remainder,CKVN-FM,ca,,
983flyfm.com,homepage_unreachable,remainder,CFLY-FM,ca,,
987krock.com,homepage_unreachable,remainder,CKXD-FM,ca,,
987thepoint.ca,homepage_unreachable,remainder,CKPM-FM,ca,,
987wowfm.wix.com,homepage_unreachable,remainder,DWWL,ph,,
989fm.com.au,homepage_unreachable,remainder,98.9 FM,au,en,
98cool.ca,homepage_unreachable,remainder,CJMK-FM,ca,,
991hitsfm.com,homepage_unreachable,remainder,CKIX-FM,ca,,
991spiritfm.com,homepage_unreachable,remainder,DWAM-AM,ph,,
993thedrive.com,homepage_unreachable,remainder,CKDV-FM,ca,,
995play.fm,homepage_unreachable,remainder,DWRT-FM,ph,en,
997.2dayfm.ca,homepage_unreachable,remainder,CIQC-FM,ca,,
aakashaath.com,homepage_unreachable,remainder,Akash Bangla,in,,
aakashvani1065.co.tt,homepage_unreachable,remainder,Aakash Vani 106.5FM,tt,,
aath.in,homepage_unreachable,remainder,Sony Aath,in,,
ababord.org,homepage_unreachable,remainder,À bâbord !,ca,fr,
abc.go.gov.br,homepage_unreachable,remainder,Q10365607,br,pt,
abcl-clarinetistas.com.br,homepage_unreachable,remainder,Q108800572,br,pt,
abcnepal.tv,homepage_unreachable,remainder,ABC Television,np,,
abcradio.com.mx,homepage_unreachable,remainder,XEABC-AM,mx,,
abdavao.com,homepage_unreachable,remainder,DXMX,ph,,
abidus.journals.ekb.eg,homepage_unreachable,remainder,Q135430596,eg,ar,
abrates.org.br,homepage_unreachable,remainder,Journal of Seed Science,br,en,
abrem.org.br,homepage_unreachable,remainder,Signum,br,pt,
absradiotv.com,homepage_unreachable,remainder,Anambra Broadcasting Service 90.7FM,ng,en,
abteve.com,homepage_unreachable,remainder,Albacete TeVe,es,,
academia.cl,homepage_unreachable,remainder,Antropologías del Sur,cl,es,
acc.tv,homepage_unreachable,remainder,Australian Christian Channel,au,,
acce.edu.au,homepage_unreachable,remainder,Australian Educational Computing,au,en,
achetezmoins.ch,homepage_unreachable,remainder,Moins !,ch,fr,
acp.cd,homepage_unreachable,remainder,Congolese press agency,cd,,
acps.org.au,homepage_unreachable,remainder,Bulletin of the Australian Carnivorous Plant Society,au,en,
acre.ac.gov.br,homepage_unreachable,remainder,TV Aldeia,br,pt,
act-cats.ca,homepage_unreachable,remainder,"Traduction, terminologie, rédaction",ca,,
actaortopedica.com.br,homepage_unreachable,remainder,Acta Ortopedica Brasileira,br,en,
acttab.com.au,homepage_unreachable,remainder,ACTTAB Radio,au,,
admin.ch,homepage_unreachable,remainder,Federal Gazette,ch,de,
adsl.tie.cl,homepage_unreachable,remainder,"Revista de Filosofía (Santiago, 1949)",cl,es,
adultswim.com.au,homepage_unreachable,remainder,Adult Swim,au,,
